"study_id","first_author","year","journal","country","doi","study_design","sample_size","mean_age","exposure_category","exposure_variable","exposure_type","clock_type","EAA_metric","effect_type","effect_value","CI_lower","CI_upper","SE","p_value","adjusted_model","covariates","conversion_method","yi","sei"
"Michaud_2023_CLUEII","Dominique S. Michaud","2023","AGING","USA","","nested case-control","416.0","57.1","epigenetic age acceleration","Horvath, Hannum, PhenoAge clocks","DNA methylation-based epigenetic age acceleration","Horvath; Hannum; PhenoAge","age acceleration residuals (intrinsic and extrinsic)","odds ratio per 1 SD increase","0.82","0.64","1.05","","0.12","conditional logistic regression adjusting for batch effects, BMI, methylation-predicted pack-years; matching factors (age, sex, smoking status and intensity, cigar/pipe smoking, date of blood draw) implicitly adjusted","batch effects, BMI, methylation-predicted pack-years; matching factors: age, sex, smoking status and intensity, cigar/pipe smoking, date of blood draw","","-0.1985",""
"aging-15-204602","Fitzgerald","2023","AGING","","","case series","6.0","57.9","diet and lifestyle intervention","methylation-supportive diet and lifestyle program including diet, sleep, exercise, relaxation, probiotics, phytonutrients, nutritional coaching","intervention","Horvath DNAmAge clock (2013)","biological age (years)","mean difference (biological age reduction)","-4.6","","","","0.039","","none reported; paired sample comparison baseline vs endpoint biological age","SeSAMe pipeline normalization","-4.6",""
"aging-15-205153","Wang","2023","AGING","USA","10.18632/aging.205153","observational cohort study","3823.0","","alcohol consumption","long-term average total alcohol consumption and types (beer, wine, liquor); cross-sectional alcohol consumption; recent binge drinking","continuous (drinks per day), categorical (non-drinker, light, at-risk, heavy drinker), recent binge drinking (yes/no)","GrimAge, PhenoAge, Horvath’s age, Hannum’s age, skin and blood clock","GrimAge acceleration (GAA), PhenoAge acceleration (PAA)","beta coefficient (years increase in EAA per additional drink per day)","0.43","","","0.15","2.1e-08","adjusted for sex, physical activity index, education level, BMI, smoking (pack-year), chronological age, lab index; additional analyses adjusted for white blood cell compositions and long-term average covariates","sex, physical activity index, education level, BMI, smoking (pack-year), chronological age, lab index, white blood cell compositions (in sensitivity analyses)","bisulfite conversion of DNA methylation from whole blood","0.43","0.15"
"DISPAR Aging","Chen","2024","AGING","USA","","prospective cohort","359.0","49.3","cognitive function","adolescent crystallized intelligence (PPVT-15); midlife crystallized intelligence (WTAR); midlife fluid intelligence (DS)","continuous","Horvath; Hannum; GrimAge; PhenoAge; DunedinPACE","residuals of epigenetic clocks regressed on chronological age; DunedinPACE pace of aging","beta coefficient","-0.048","","","0.015","0.001693","linear regression adjusted for potential confounders including adult socioeconomic status","adult socioeconomic status, sex, race/ethnicity, BMI, smoking, alcohol use, cell type proportions","EAA calculated as residuals from regression of epigenetic age on chronological age; DunedinPACE calculated using DunedinPACE R package","-0.048","0.015"
"","Mesnage","2025","Antioxidants","","10.3390/antiox14040421","Review","","","Environmental pollutants","Airborne particulate matter (PM2.5, PM10, BC, NOx), heavy metals (Pb, Cd, As, Hg, W), organic pollutants (BPA, PCBs, pesticides, PAHs, benzene, TCE), microplastics, tobacco, alcohol, environmental quality (greenness)","Chemical and particulate environmental exposures","Multiple epigenetic clocks including GrimAge, DunedinPACE, PhenoAge, Horvath’s Skin and Blood clock, Skin and Blood Clock","Epigenetic age acceleration (EAA) measured by GrimAge, DunedinPACE, PhenoAge, Horvath clocks","Mean difference in epigenetic age acceleration (years)","","","","","","Various models adjusted for age, sex, and other covariates depending on individual studies summarized","Age, sex, smoking, occupational exposure, geographic region, socioeconomic status, and other confounders as per individual studies","","",""
"APA-112-1001","Balfour","2023","Acta Paediatrica","Australia","10.1111/apa.16719","Prospective cohort study","1192.0","17.0","Sleep health","Parent-reported sleep trajectories (age 5-17); self-reported sleep problems (age 17)","Subjective (parent- and self-report questionnaires)","Horvath's New Methylation Age Calculator (6 clocks: GrimAA, HorvathAA, IntrinsicAA, ExtrinsicAA, PhenoAA, SkinAA)","Intrinsic epigenetic age acceleration (IntrinsicAA)","Regression coefficient (beta)","0.14","","","","0.04","Demographic + lifestyle covariates (age, sex, ethnicity, family income, BMI, smoking)","Age, sex, ethnicity, family income, BMI, smoking, depressive symptoms, physical development","","0.14",""
"awaf069","Pedro Sant’Anna Barbosa Ferreira","2025","BRAIN","Netherlands","10.1093/brain/awaf069","cross-sectional twin study","254.0","","DNA methylation age acceleration","Hannum and GrimAge epigenetic clocks","epigenetic age acceleration from blood DNA methylation","Hannum; GrimAge","residuals of regression of epigenetic age on chronological age","standardized beta (correlation)","0.15","","","","0.011","adjusted for sex, BMI, smoking status, white blood cell counts (monocytes, eosinophils, neutrophils), bisulphite sample plates, methylation array row number","sex, BMI, smoking status (former smoker vs non-smoker, current smoker vs non-smoker), monocytes %, eosinophils %, neutrophils %, bisulphite sample plates, methylation array row number","age acceleration computed as residuals from regression of epigenetic age on chronological age; brain age acceleration computed as difference between brainageR predicted brain age and chronological age with Beheshti’s correction","0.15",""
"ebiom2019","Xiaoyu Li","2019","EBioMedicine","United States","10.1016/j.ebiom.2019.11.020","prospective cohort","622.0","68.7","Sleep disordered breathing","Apnea-hypopnea index (AHI); Percentage of sleep time with oxygen saturation <90% (Per90); Arousal index","continuous","DNAm-PhenoAge (Levine's clock); DNAm-Age (Horvath's clock)","DNAm-PhenoAge acceleration; DNAm-Age acceleration","linear regression coefficient (beta)","0.03","0.001","0.06","","0.05","Adjusted for chronological age, sex, race/ethnicity, household income, study site, BMI, smoking, and drinking status","chronological age, sex, race/ethnicity, household income, study site, BMI, smoking status, drinking status","Epigenetic age acceleration calculated as residuals from regressing epigenetic age on chronological age","0.03",""
"ebiom106005","Sun","2025","eBioMedicine","United Kingdom","10.1016/j.ebiom.2025.106005","longitudinal cohort study and Mendelian randomization","322640.0","58.0","biological aging; unhealthy lifestyle factors","PhenoAge acceleration; HD score; smoking; alcohol drinking; unhealthy diet; inadequate physical activity; unhealthy lifestyle index","biomarker-based biological aging measures and lifestyle factors","PhenoAge, HD score, DNAm GrimAge, DNAm Hannum, DNAm PhenoAge, DNAm IEAA","PhenoAge acceleration; HD score; epigenetic age acceleration (DNAm GrimAge, Hannum, PhenoAge, IEAA)","hazard ratio","1.07","1.04","1.1","","5e-06","adjusted for age at recruitment, sex, education, smoking status, alcohol consumption, diet, physical activity, Townsend deprivation index, household income, BMI, diabetes, hypertension, coronary artery disease","age, sex, education, smoking, alcohol, diet, physical activity, socioeconomic status, BMI, diabetes, hypertension, coronary artery disease","","",""
"ERJ-00458-2024","Hernandez Cordero AI","2024","European Respiratory Journal","Canada","10.1183/13993003.00458-2024","observational cohort","93.0","55.0","cannabis smoking","cannabis smoking status (never, former, current); joint-years of cannabis smoking","categorical (never, former, current); continuous (joint-years)","DNAmGrimAge; DNAmPhenoAge","epigenetic age acceleration residuals (regression residuals of epigenetic age on chronological age)","mean difference in epigenetic age acceleration residuals (years)","4.19","","","","0.001","adjusted for chronological age, sex, BMI, cigarette smoking status, batch, blood cell proportions (except for DNAmPhenoAge where cell proportions were excluded), and additionally adjusted for FEV1/FVC ratio in sensitivity analyses","age, sex, BMI, cigarette smoking status, batch, blood cell proportions (CD8 T-cells, CD4 T-cells, natural killer cells, B-cells, monocytes, granulocytes), FEV1/FVC ratio (in sensitivity analyses)","","4.19",""
"Kuo_2021_BLSA","Kuo","2021","Frontiers in Aging Neuroscience","United States","10.3389/fnagi.2021.790926","cross-sectional","236.0","68.39","epigenetic age acceleration","AgeAccelerationResidualHannum; IEAA (Horvath); AgeAccelPheno; AgeAccelGrim; DunedinPoAm","epigenetic clock measures","Hannum; Horvath; PhenoAge; GrimAge; DunedinPoAm","standardized effect size per 1 SD increase in epigenetic age acceleration","standardized regression coefficient","0.2","0.06","0.33","","0.004","Model 3: adjusted for sex, black race, age, time difference between epigenetic and hearing measurements, hypertension, diabetes, congestive heart failure, peripheral arterial disease, and smoking history","sex, black race, age, time difference between measurements, hypertension, diabetes, congestive heart failure, peripheral arterial disease, smoking history (4 categories)","","0.2",""
"gbae176","Eun Young Choi","2024","The Journals of Gerontology, Series B: Psychological Sciences and Social Sciences","USA","10.1093/geronb/gbae176","Cross-sectional analysis of nationally representative sample","3146.0","68.8","Neighborhood social stressors","Socioeconomic deprivation; observed disorder; perceived disorder; low social cohesion","Composite indices and binary/continuous measures from census and self-report","PCHorvath; PCHannum; PCPhenoAge; PCGrimAge; DunedinPACE","Epigenetic age acceleration residuals (PC clocks) and DunedinPACE pace of aging","Regression coefficient (B)","0.022","0.016","0.028","","0.001","Model 3: adjusted for demographics, socioeconomic factors, and health behaviors","Age, gender, race/ethnicity, PLQ interview year, years in neighborhood, marital status, household size, social network size, education, household wealth, smoking status, drinking status, obesity, physical activity","","0.022",""
"glab149","Kresovich","2021","Journals of Gerontology: Biological Sciences","USA","10.1093/gerona/glab149","prospective cohort (case-cohort sub-sample)","2316.0","55.3","Alcohol consumption","Average lifetime alcohol use (drinks/year drinking); Average recent alcohol use (drinks/week)","self-reported alcohol consumption","Hannum, Horvath, PhenoAge, GrimAge","Hannum AgeAccel, Horvath AgeAccel, PhenoAgeAccel, GrimAgeAccel","beta coefficient (years increase in GrimAgeAccel per unit increase in alcohol consumption)","0.27","0.04","0.5","","0.02","Adjusted for education level, body mass index, waist-to-hip ratio, smoking status, physical activity; mutually adjusted for lifetime and recent alcohol consumption","education level (high school/GED, attended college, advanced degree), body mass index (continuous, kg/m2), waist-to-hip ratio (continuous), smoking status (never, former, current), physical activity (continuous, METs/week)","Age acceleration calculated as residuals from regression of epigenetic age on chronological age","0.27",""
"glac019","Seligman","2022","Journals of Gerontology: Biological Sciences","USA","10.1093/gerona/glac019","prospective cohort","395.0","77.8","epigenetic age acceleration","Intrinsic epigenetic age acceleration (IEAA); Extrinsic epigenetic age acceleration (EEAA); GrimAge; PhenoAge","DNA methylation-based epigenetic clocks","IEAA, EEAA, GrimAge, PhenoAge","age acceleration residuals from regression of epigenetic age on chronological age","regression coefficient","0.001","-0.013","0.014","","0.924","adjusted for age, sex, smoking status (current and former), BMI, and baseline frailty","age, sex, smoking status (current and former), BMI, baseline frailty","","0.001",""
"glad082","Thomas","2023","Journals of Gerontology: Biological Sciences","USA","10.1093/gerona/glad082","cross-sectional","42625.0","47.0","Diet and Physical Activity","Mediterranean diet adherence (MeDi score tertiles); Leisure time physical activity (LTPA) levels","Lifestyle behaviors","PhenoAge (clinical blood chemistry-based algorithm)","PhenoAge advancement standardized (difference between biological and chronological age, standardized to mean=0, SD=1)","standardized beta coefficient (SD units of PhenoAge advancement)","-0.14","-0.18","-0.11","","0.001","Fully adjusted model (Model 5): adjusted for demographics (age, sex, race/ethnicity, total energy intake, NHANES wave), socioeconomic status (education, income-to-poverty ratio, marital status), smoking status, BMI category, and mutually adjusted for MeDi score and LTPA level","Age, sex, race/ethnicity, total energy intake, NHANES wave, education, income-to-poverty ratio, marital status, smoking status, BMI category, mutually adjusted for diet and physical activity","PhenoAge advancement standardized to mean=0 and SD=1; 1 SD corresponds to 4.6 years of PhenoAge advancement","-0.14",""
"glad118","Joshi","2024","Journals of Gerontology: Medical Sciences","Canada","10.1093/gerona/glad118","cross-sectional","1445.0","59.7","Neighborhood deprivation; depressive symptoms","Neighborhood material and/or social deprivation (high vs low); depressive symptoms score (CES-D10)","socioeconomic environment; psychological","DNAm GrimAge; DNAm PhenoAge","residuals from regression of biological age on chronological age","regression coefficient (b)","0.66","0.21","1.12","","0.05","Adjusted for sex, annual household income, number of people living in household, number of poor health behaviors, number of chronic conditions","sex, annual household income, number of people in household, number of poor health behaviors, number of chronic conditions","Noob normalization; epigenetic age acceleration calculated as residuals from regression of biological age on chronological age","0.66",""
"glad242","Zavala","2024","The Journals of Gerontology, Series A: Biological Sciences and Medical Sciences","USA","10.1093/gerona/glad242","secondary data analysis of observational cohort","142.0","47.2","Epigenetic age acceleration","Horvath 1, Horvath 2, Hannum, PhenoAge, GrimAge clocks","DNA methylation-based epigenetic clocks","Horvath 1, Horvath 2, Hannum, PhenoAge, GrimAge","Difference between epigenetic age and chronological age (age acceleration)","regression coefficient (B) for mean cognitive performance and intraindividual variability","-0.25","","","0.11","0.05","Multilevel models adjusted for chronological age, gender, education, smoking status, genetic ancestry (PC1, PC2)","Chronological age, gender, education, current smoking status, genetic ancestry (PC1, PC2)","PC-clocks software using PCA-based approach to reduce technical noise","-0.25","0.11"
"harris_2024_oi_240863_1723470391.17425","Harris","2024","JAMA Network Open","USA","10.1001/jamanetworkopen.2024.27889","cohort study","4237.0","38.4","Sociodemographic and lifestyle factors","Education (no college vs college or higher), annual income (<$25,000 vs ≥$100,000), obesity status (severe obesity vs reference range/underweight), exercise (no bouts/week vs ≥5 bouts/week), tobacco use (current smoker vs never smoker)","Categorical","Second- and third-generation epigenetic clocks (PhenoAgeAA, GrimAgeAA, DunedinPACE) and first-generation clock (Horvath1AA)","Epigenetic age acceleration (years for PhenoAgeAA, GrimAgeAA, Horvath1AA; SD units for DunedinPACE)","Beta coefficient (difference in years or SD units of biological aging)","1.7","0.68","2.72","","","Multivariable model adjusted for all sociodemographic and lifestyle characteristics and chronological age","Age, sex, race/ethnicity, immigrant generation, education, income, region, rural/urban residence, obesity status, exercise, tobacco use, alcohol use","","1.7",""
"ijerph-16-03141","Wei Zhao","2019","International Journal of Environmental Research and Public Health","USA","10.3390/ijerph16173141","community-based cohort study with cross-sectional and longitudinal analyses","1100.0","57.05","education; smoking; alcohol consumption; BMI; gender","education (less than HS, HS/GED, some college+); smoking status (never, former, current); alcohol consumption (log drinks/week); BMI (kg/m2); gender (male/female)","modifiable lifestyle and sociodemographic factors","HorvathAge (IEAA), HannumAge (EEAA), PhenoAge (PhenoAA), GrimAge (GrimAA)","intrinsic epigenetic age acceleration (IEAA), extrinsic epigenetic age acceleration (EEAA), PhenoAge acceleration (PhenoAA), GrimAge acceleration (GrimAA)","regression coefficient (beta) from linear mixed models","7.618","","","","0.001","fully adjusted model including age, gender, education, smoking, alcohol consumption, BMI, and familial relationship as random effect","age, gender, familial relationship (random effect), education, smoking, alcohol consumption, BMI","","7.618",""
"ijms-22-13457","Saptarshi","2021","International Journal of Molecular Sciences","UK","10.3390/ijms222413457","case-control","30.0","","smoking","smoking status (smoker vs non-smoker)","modifiable lifestyle factor","Horvath multi-tissue; Hannum; Skin & Blood","DNAm age minus chronological age","mean difference in EAA (years)","7.12","","","","0.0071","univariate analysis comparing smokers and non-smokers","none reported","","7.12",""
"ijms-26-01478","Choi","2025","International Journal of Molecular Sciences","United States","10.3390/ijms26041478","Cross-sectional","589.0","63.14","Environmental chemical","Serum 2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD) levels","Serum concentration (pg/g) and lipid-adjusted serum concentration (pg/g lipid)","Horvath Age; Hannum Age; SkinBlood Age; PhenoAge; Grim Age; Grim Age2","Epigenetic age acceleration (years)","Beta coefficient (years increase in epigenetic age per unit increase in TCDD)","0.73","","","0.31","0.0258","Model 3: Adjusted for age, sex, race/ethnicity, education, family income, smoking, alcohol drinking, moderate physical activity, obesity, and comorbidities (diabetes, hypertension, dyslipidemia)","Age, sex, race/ethnicity, education, family income, smoking status, alcohol consumption, physical activity, obesity, diabetes, hypertension, dyslipidemia","Missing DNAm beta values imputed using mean DNAm beta values from Horvath reference dataset","0.73","0.31"
"JAH3-11-e022257","Xiao","2022","Journal of the American Heart Association","China","10.1161/JAHA.121.022257","cross-sectional","280.0","78.5","blood pressure","systolic blood pressure; pulse pressure","continuous (per 10 mm Hg increase)","Horvath epigenetic clock","ΔAge (residuals of DNAm age on chronological age)","regression coefficient (years increase in ΔAge per 10 mm Hg increase in BP)","0.608","0.231","0.984","","0.002","Model 4: adjusted for sex, body mass index, socioeconomic status, smoking status, drinking status, physical activity, sleep duration, hyperlipidemia, and diabetes","sex, body mass index, socioeconomic status, smoking status, drinking status, physical activity, sleep duration, hyperlipidemia, diabetes","","0.608",""
"jamapediatrics_del_toro_2024","Del Toro","2024","JAMA Pediatrics","USA","10.1001/jamapediatrics.2024.3669","longitudinal cohort study","2039.0","9.27","Discrimination","Racialized police intrusion (stop and frisk, racial slurs)","Interpersonal discrimination","Hannum; GrimAge; PhenoAge; DunedinPACE; Horvath","Epigenetic age acceleration residuals (except DunedinPACE standardized)","Regression coefficient (B)","1.54","0.36","2.18","0.49","0.001","Bayesian multilevel model adjusted for youth sex, age, family socioeconomic status at birth, youth smoking, maternal smoking, DNA methylation smoking score, BMI, pubertal development, Illumina array, saliva cell composition, and city fixed effects","Youth sex, age, family socioeconomic status at birth, youth smoking, maternal smoking, DNA methylation smoking score, BMI, pubertal development, Illumina array, saliva cell composition, city fixed effects","EAA residuals from regression on chronological age; DunedinPACE standardized","1.54","0.49"
"JCSM-16-e13873","Ammous","2025","Journal of Cachexia, Sarcopenia and Muscle","USA","10.1002/jcsm.13873","Longitudinal cohort with cross-sectional and life-course modeling analyses","3873.0","68.9","Physical activity","Self-reported moderate-to-vigorous physical activity (binary: physically active vs inactive)","Self-reported physical activity frequency","GrimAge, PhenoAge, DunedinPACE","Epigenetic age acceleration residuals for GrimAge and PhenoAge; rate of biological aging for DunedinPACE","Difference in epigenetic age acceleration (years) or rate per chronological year","-0.76","-1.09","-0.42","","0.001","Model 3: adjusted for age, gender, race/ethnicity, education, total wealth, current smoking status, BMI, mobility limitations, chronic disease diagnosis","Age, gender, race/ethnicity, educational attainment, total wealth, current smoker status, BMI, mobility index, chronic disease diagnosis, birth cohort","","-0.76",""
"KEPI_18_2218763","Theresa Andrasfay","2023","Epigenetics","United States","10.1080/15592294.2023.2218763","Observational cohort study","1251.0","62.4","Occupational characteristics and self-reported working conditions","Occupation categories (managerial/professional, sales/clerical, service, manual); self-reported working conditions (high stress, high physical effort, long working hours)","Categorical occupational categories; binary self-reported working conditions","PCHorvath, PCHannum, PCPhenoAge, PCGrimAge, DunedinPACE","Epigenetic age acceleration (years) or pace of aging (years per chronological year)","Regression coefficient (years of EAA or change in pace of aging)","0.66","","","","0.001","Fully adjusted model including age, sex, race/ethnicity, educational attainment, smoking status, alcohol consumption, physical inactivity, and BMI category","Age, sex, race/ethnicity, educational attainment, smoking status, alcohol consumption, physical inactivity, BMI category","Linear regression coefficients interpreted as years of epigenetic age acceleration or change in pace of aging","0.66",""
"KEPI_20_2541248","Liu","2025","Epigenetics","USA","10.1080/15592294.2025.2541248","cohort study","1950.0","63.73","Systemic immune-inflammation index (SII)","SII = platelet count × (neutrophil count / lymphocyte count), scaled per 50 units","continuous","Horvath, Hannum, Skin & Blood, PhenoAge, GrimAge2, DunedinPoAm","HorvathAccel, HannumAccel, Skin&BloodAccel, PhenoAgeAccel, GrimAge2Accel, DunedinPoAm","beta coefficient (linear regression)","0.213","0.155","0.27","","0.0001","Model 3: adjusted for age, gender, race, marital status, education level, poverty-to-income ratio, smoking status, alcohol consumption, BMI, history of diabetes, hypertension, and cancer","age, gender, race, marital status, education level, poverty-to-income ratio, smoking status, alcohol consumption, BMI, history of diabetes, hypertension, cancer","residual method for EAA calculation","0.213",""
"kwaa251","Kresovich","2021","American Journal of Epidemiology","United States","10.1093/aje/kwaa251","cross-sectional","2758.0","57.0","body composition; physical activity","body mass index (BMI); waist-to-hip ratio (WtH); waist circumference (WC); recreational physical activity (hours/week)","continuous and categorical","Hannum; Horvath; PhenoAge; GrimAge","PhenoAge age acceleration; GrimAge age acceleration; EEAA; IEAA; Hannum age acceleration; Horvath age acceleration","beta coefficient (years of epigenetic age acceleration)","3.15","2.41","3.9","","0.001","adjusted for educational level, smoking status, current alcohol consumption, menopausal status, and recreational physical activity (hours/week)","education, smoking status, alcohol intake, menopausal status, physical activity (for body composition models); BMI (for physical activity models)","epigenetic age acceleration calculated as residuals from linear regression of epigenetic age on chronological age","3.15",""
"lawrence_2020_oi_200797_1603750396.37164","Lawrence","2020","JAMA Network Open","USA","10.1001/jamanetworkopen.2020.24329","cross-sectional","2630.0","56.9","Neighborhood deprivation","Area Deprivation Index (ADI) US percentile levels (quartiles)","Neighborhood socioeconomic status","Hannum; PhenoAge; GrimAge; Horvath","Epigenetic age acceleration residuals (z scores) from regressing chronologic age on epigenetic age","beta coefficient","0.23","0.01","0.45","","0.04","Weighted for case-cohort sampling scheme, unadjusted","None (unadjusted weighted model); adjusted models included smoking status, environmental tobacco smoke, alcohol use, BMI, income, educational level","Epigenetic age acceleration calculated as residuals from regressing chronologic age on epigenetic age; transformed to z scores","0.23",""
"Felt_2023_Neurobiology_of_Stress","John M. Felt","2023","Neurobiology of Stress","United States; Germany","10.1016/j.ynstr.2023.100577","prospective cohort and community cohort","399.0","36.15","early life adversity; psychiatric disorders","child sexual abuse (FGDS); psychiatric disorder status (BeCOME)","binary (CSA vs non-CSA in FGDS); psychiatric diagnosis status in BeCOME","Horvath; Hannum; GrimAge; PhenoAge; DunedinPoAm","residualized epigenetic age acceleration (age-adjusted residuals); DunedinPoAm pace of aging","standardized beta coefficient","-0.211","","","","0.012","adjusted for ancestry (3 genotype PCs), cell-type counts (for GrimAge, PhenoAge, DunedinPoAm), gender and psychiatric burden (BeCOME)","ancestry PCs, cell-type proportions, gender (BeCOME), psychiatric burden (BeCOME)","","-0.211",""
"maunakea_2024_oi_240700_1721335443.30516","Maunakea","2024","JAMA Network Open","USA","10.1001/jamanetworkopen.2024.21889","cohort study, cross-sectional analysis","376.0","57.81","Neighborhood socioeconomic status; Educational level; Physical activity; Diet quality; Body mass index","NSES (low vs high); Educational level (years completed); Moderate to vigorous physical activity (hours/week); Healthy Eating Index (HEI) score; BMI","Sociobehavioral and socioeconomic factors","Dunedin Pace of Aging Calculated From the Epigenome (DunedinPACE)","DunedinPACE score","beta coefficient","-0.005","-0.013","0.002","","0.03","Linear regression controlling for age, sex, HEI, BMI, and NSES","Age, sex, Healthy Eating Index, body mass index, neighborhood socioeconomic status","","-0.005",""
"White_2019_EnvironInt","White","2019","Environment International","USA","10.1016/j.envint.2019.105071","cross-sectional analysis within a prospective cohort","2747.0","57.0","Air pollution","PM2.5, PM10, NO2; PM2.5 component clusters","Residential outdoor air pollution annual average concentrations","Levine, Hannum, Horvath","Residuals of DNAm age regressed on chronological age (age acceleration)","beta coefficient per IQR increase in pollutant","-0.24","-0.47","-0.02","","0.03","Adjusted for future breast cancer case status, education, smoking status, hormone therapy use","Future breast cancer case status, education (3 levels), smoking status (current, former, never), hormone therapy use (ever, never)","Age acceleration calculated as residuals from regression of DNAm age on chronological age; M-values used for methylation; PM2.5 component clusters assigned by predictive k-means clustering","-0.24",""
"nihms-1649768","Simons","2021","Soc Sci Med","USA","10.1016/j.socscimed.2020.113169","longitudinal observational","506.0","48.47","social adversity and health risk behaviors","education; income; neighborhood disadvantage; racial discrimination; cumulative social disadvantage; alcohol consumption; exercise; diet","socioeconomic and psychosocial factors; health behaviors","GrimAge","residuals of GrimAge regressed on chronological age","standardized beta coefficients","-0.17","","","","0.001","adjusted for gender, marital status, and other social disadvantage variables; cluster-robust standard errors to account for non-independence of married couples","gender, marital status, other social disadvantage variables, health risk behaviors","","-0.17",""
"nihms-1695982","Stephenson","2021","Alcohol Clin Exp Res","Finland","10.1111/acer.14528","Population-based cohort with co-twin comparison design","1004.0","23.0","Alcohol consumption","Drinks per week","Continuous","GrimAge","AgeAccelGrim","Regression coefficient (beta)","0.053","","","0.009","0.001","Linear mixed effects model adjusted for age, sex, BMI, smoking status, white blood cell composition; random effects for zygosity and twin pair identifier","Age, sex, BMI, smoking status, white blood cell composition","","0.053","0.009"
"nihms-1818162","Lima","2022","European Neuropsychopharmacology","USA","10.1016/j.euroneuro.2022.06.007","cross-sectional","203.0","36.6","smoking; blood cell proportions; cognitive function","current smoking status; blood cell counts (CD4+ T-lymphocytes, monocytes, B-cells, granulocytes); cognitive measures (short-term affective memory, short-term non-affective memory, inhibition, problem solving); age at onset of mood disorder and bipolar disorder","behavioral (smoking), biological (blood cell proportions), clinical (cognitive function, age at diagnosis)","DNAm GrimAge","AgeAccelGrim","beta coefficient (log-transformed AgeAccelGrim, exponentiated for % change)","0.197","","","","0.009","unadjusted for blood cell counts","none in main model; blood cell counts (CD8T, CD4T, NK, Bcell, Mono, Gran) adjusted in secondary models","log-transformation of AgeAccelGrim with exponentiation of coefficients","0.197",""
"nihms-1818253","Liu","2022","Depress Anxiety","USA","10.1002/da.23279","Co-twin control study (longitudinal with baseline and follow-up)","291.0","56.0","Depression","Beck Depression Inventory II (BDI-II) total score","Continuous","HannumAA; EEAA; PhenoAA","DNA methylation age acceleration residuals","Difference in years of epigenetic age acceleration per 10-unit increase in BDI-II score","0.73","0.13","1.33","","0.019","Model 4 (adjusted for zygosity, smoking, coronary heart disease, BMI, alcohol drinks per week, physical activity, PTSD)","Zygosity, current smoking, coronary heart disease history, BMI, number of alcoholic drinks per week, Baecke physical activity score, PTSD","Within-pair difference linear mixed effect models with random intercepts by twin pair and zygosity","0.73",""
"nihms-1861888","Ong","2022","J Aging Health","USA","10.1177/08982643211043668","observational, cross-sectional with hierarchical regression analysis","477.0","58.47","Childhood instability; Adult financial hardship; Smoking","Childhood instability (parental divorce, multiple moves, multiple elementary schools); Adult financial hardship (income, difficulty paying bills, money left at month end); Smoking (cigarettes per day)","socio-environmental and lifestyle factors","GrimAge; DunedinPoAm","Residuals of GrimAge regressed on chronological age (years); DunedinPoAm pace of aging (years of physiological decline per calendar year)","standardized beta coefficient","0.13","","","","0.001","Adjusted for age, gender, education, marital status, cell-type distribution; cluster-robust standard errors to account for couples","Age, gender, education, marital status, cell-type distribution","","0.13",""
"nihms-1900975","Khodasevich","2023","Environmental Research","USA","10.1016/j.envres.2023.116067","prospective cohort","385.0","","prenatal phthalate exposure","prenatal urinary concentrations of 11 phthalate metabolites including DEHP summary measure, MBP, MEP, MiBP, MBzP, MCNP, MCPP","chemical (endocrine-disrupting chemicals)","Bohlin's gestational age clock at birth; Horvath's pan-tissue clock for childhood","Gestational Age Acceleration (GAA) at birth; Intrinsic Epigenetic Age Acceleration (IEAA) at ages 7, 9, 14","beta coefficient (linear regression)","-0.58","-1.02","-0.13","","0.05","adjusted linear regression including maternal poverty category, parity, maternal age, maternal smoking, maternal BMI; sex-stratified models for significant phthalate*sex interactions","maternal poverty category, parity, maternal age, maternal smoking, maternal BMI, child sex (in unstratified models), cell proportions for GAA","SG-adjusted urinary phthalate concentrations; molar sums for DEHP metabolites","-0.58",""
"Hamlat_2022","Elissa J. Hamlat","2022","Psychoneuroendocrinology","USA","10.1016/j.psyneuen.2022.105748","longitudinal cohort study","361.0","39.3","Subjective social status (SSS); Objective socioeconomic status (education, income)","Subjective social status (MacArthur Scale of Subjective Social Status, national level); current education; current income; parents' education; childhood income","self-reported subjective social status and objective SES indicators","DNAm GrimAge","AgeAccelerationResidual (residual of DNAm GrimAge regressed on chronological age)","regression coefficient (b)","-0.31","","","","0.003","Adjusted for current education, current income, parents' education, childhood income, smoking status, cell type counts, race","current education, current income, parents' education, childhood income, smoking status, cell type counts (naïve CD8+ T, exhausted cytotoxic CD8+ T, granulocytes, natural killer, CD4+ T), race","BMIQ normalization for methylation data","-0.31",""
"nihms-1915286","Batel Blechter","2023","Environmental International","China","10.1016/j.envint.2023.108041","Observational cohort study with repeated measurements","106.0","56.3","Household air pollution (HAP) from solid fuel combustion","PAH clusters (PAH31, PAH33, PAH36), 5-methylchrysene (5-MC), smoky coal use","Current, childhood, cumulative","GrimAge","Epigenetic age acceleration (residuals of GrimAge regressed on chronological age)","Beta coefficient (years increase in GrimAge EAA per SD increase in exposure)","0.77","0.36","1.19","","0.0003","Adjusted for chronological age, county (Xuanwei or Fuyuan), BMI, education, socioeconomic status","Chronological age, county, BMI, education, socioeconomic status; sensitivity analyses adjusted for season and environmental tobacco smoke exposure","EAA calculated as residuals from regressing epigenetic clock age on chronological age","0.77",""
