study_id,first_author,year,journal,country,doi,study_design,sample_size,mean_age,exposure_category,exposure_variable,exposure_type,clock_type,EAA_metric,effect_type,effect_value,CI_lower,CI_upper,SE,p_value,adjusted_model,covariates,study_design_clean,country_clean,SE_derived,effect_class,flag_eaa_as_exposure,flag_wrong_outcome,yi,sei,log_transformed,poolable_primary,poolable_pool_B_std,poolable_pool_C_OR,poolable_pool_D_HR,yi_sei_formula,conversion_notes,final_decision,decision_rationale
ijms-26-01478,Choi,2025,International Journal of Molecular Sciences,United States,10.3390/ijms26041478,Cross-sectional,589,63.14,Environmental chemical,"Serum 2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD) levels",Serum concentration (pg/g) and lipid-adjusted serum concentration (pg/g lipid),Horvath Age; Hannum Age; SkinBlood Age; PhenoAge; Grim Age; Grim Age2,Epigenetic age acceleration (years),Beta coefficient (years increase in epigenetic age per unit increase in TCDD),0.73,,,0.31,0.0258,"Model 3: Adjusted for age, sex, race/ethnicity, education, family income, smoking, alcohol drinking, moderate physical activity, obesity, and comorbidities (diabetes, hypertension, dyslipidemia)","Age, sex, race/ethnicity, education, family income, smoking status, alcohol consumption, physical activity, obesity, diabetes, hypertension, dyslipidemia",cross-sectional,United States,0.31,BETA_UNSTD,False,False,0.73,0.31,False,True,False,False,False,yi = beta; sei = SE from paper,Years per TCDD unit; primary metric,BETA_UNSTD,Years per TCDD unit; primary metric
JCSM-16-e13873,Ammous,2025,"Journal of Cachexia, Sarcopenia and Muscle",USA,10.1002/jcsm.13873,Longitudinal cohort with cross-sectional and life-course modeling analyses,3873,68.9,Physical activity,Self-reported moderate-to-vigorous physical activity (binary: physically active vs inactive),Self-reported physical activity frequency,"GrimAge, PhenoAge, DunedinPACE",Epigenetic age acceleration residuals for GrimAge and PhenoAge; rate of biological aging for DunedinPACE,Difference in epigenetic age acceleration (years) or rate per chronological year,-0.76,-1.09,-0.42,,0.001,"Model 3: adjusted for age, gender, race/ethnicity, education, total wealth, current smoking status, BMI, mobility limitations, chronic disease diagnosis","Age, gender, race/ethnicity, educational attainment, total wealth, current smoker status, BMI, mobility index, chronic disease diagnosis, birth cohort",Longitudinal cohort with cross-sectional and life-course modeling analyses,United States,0.1709183673469388,BETA_UNSTD,False,False,-0.76,0.1709183673469388,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years difference,BETA_UNSTD,Years difference
kwaa251,Kresovich,2021,American Journal of Epidemiology,United States,10.1093/aje/kwaa251,cross-sectional,2758,57.0,body composition; physical activity,body mass index (BMI); waist-to-hip ratio (WtH); waist circumference (WC); recreational physical activity (hours/week),continuous and categorical,Hannum; Horvath; PhenoAge; GrimAge,PhenoAge age acceleration; GrimAge age acceleration; EEAA; IEAA; Hannum age acceleration; Horvath age acceleration,beta coefficient (years of epigenetic age acceleration),3.15,2.41,3.9,,0.001,"adjusted for educational level, smoking status, current alcohol consumption, menopausal status, and recreational physical activity (hours/week)","education, smoking status, alcohol intake, menopausal status, physical activity (for body composition models); BMI (for physical activity models)",cross-sectional,United States,0.3801020408163265,BETA_UNSTD,False,False,3.15,0.3801020408163265,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years; primary metric,BETA_UNSTD,Years; primary metric
lawrence_2020_oi_200797_1603750396.37164,Lawrence,2020,JAMA Network Open,USA,10.1001/jamanetworkopen.2020.24329,cross-sectional,2630,56.9,Neighborhood deprivation,Area Deprivation Index (ADI) US percentile levels (quartiles),Neighborhood socioeconomic status,Hannum; PhenoAge; GrimAge; Horvath,Epigenetic age acceleration residuals (z scores) from regressing chronologic age on epigenetic age,beta coefficient,0.23,0.01,0.45,,0.04,"Weighted for case-cohort sampling scheme, unadjusted","None (unadjusted weighted model); adjusted models included smoking status, environmental tobacco smoke, alcohol use, BMI, income, educational level",cross-sectional,United States,0.1122448979591837,BETA_UNSTD,False,False,0.23,0.1122448979591837,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
Liu_2025_NHANES_SII_EAA,Rundong Liu,2025,Epigenetics,USA,10.1080/15592294.2025.2541248,Cohort study (NHANES 1999-2002 subset),1950,63.73,Systemic immune-inflammation index (SII),"SII = platelet count × (neutrophil count / lymphocyte count), scaled per 50 units",Biomarker (inflammation index),"Horvath, Hannum, Skin & Blood, PhenoAge, GrimAge2, DunedinPoAm","HorvathAccel, HannumAccel, Skin&BloodAccel, PhenoAgeAccel, GrimAge2Accel, DunedinPoAm",Regression coefficient (β) per 50-unit increase in SII,0.213,0.155,0.27,,0.0001,"Model 3: adjusted for age, gender, race, marital status, education level, poverty-to-income ratio, smoking status, alcohol consumption, BMI, history of diabetes, hypertension, and cancer","Age, gender, race, marital status, education level, poverty-to-income ratio, smoking status, alcohol consumption, BMI, diabetes, hypertension, cancer history",Cohort study (NHANES 1999-2002 subset),United States,0.02933673469387756,BETA_UNSTD,False,False,0.213,0.02933673469387756,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per 50-unit SII; note non-standard exposure unit,BETA_UNSTD,Years per 50-unit SII; note non-standard exposure unit
maunakea_2024_oi_240700_1721335443.30516,Maunakea,2024,JAMA Network Open,USA,10.1001/jamanetworkopen.2024.21889,"cohort study, cross-sectional analysis",376,57.81,Neighborhood socioeconomic status; Educational level; Physical activity; Diet quality; Body mass index,NSES (low vs high); Educational level (years completed); Moderate to vigorous physical activity (hours/week); Healthy Eating Index (HEI) score; BMI,Sociobehavioral and socioeconomic factors,Dunedin Pace of Aging Calculated From the Epigenome (DunedinPACE),DunedinPACE score,beta coefficient,-0.005,-0.013,0.002,,0.03,"Linear regression controlling for age, sex, HEI, BMI, and NSES","Age, sex, Healthy Eating Index, body mass index, neighborhood socioeconomic status","cohort study, cross-sectional analysis",United States,0.003826530612244898,BETA_UNSTD,False,False,-0.005,0.003826530612244898,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
nihms-1695982,Stephenson,2021,Alcohol Clin Exp Res,Finland,10.1111/acer.14528,Population-based cohort with co-twin comparison design,1004,23.0,Alcohol consumption,Drinks per week,Continuous,GrimAge,AgeAccelGrim,Regression coefficient (beta),0.053,,,0.009,0.001,"Linear mixed effects model adjusted for age, sex, BMI, smoking status, white blood cell composition; random effects for zygosity and twin pair identifier","Age, sex, BMI, smoking status, white blood cell composition",Population-based cohort with co-twin comparison design,Finland,0.009,BETA_UNSTD,False,False,0.053,0.009,False,True,False,False,False,yi = beta; sei = SE from paper,Linear regression beta,BETA_UNSTD,Linear regression beta
nihms-1818253,Liu,2022,Depress Anxiety,USA,10.1002/da.23279,Co-twin control study (longitudinal with baseline and follow-up),291,56.0,Depression,Beck Depression Inventory II (BDI-II) total score,Continuous,HannumAA; EEAA; PhenoAA,DNA methylation age acceleration residuals,Difference in years of epigenetic age acceleration per 10-unit increase in BDI-II score,0.73,0.13,1.33,,0.019,"Model 4 (adjusted for zygosity, smoking, coronary heart disease, BMI, alcohol drinks per week, physical activity, PTSD)","Zygosity, current smoking, coronary heart disease history, BMI, number of alcoholic drinks per week, Baecke physical activity score, PTSD",Co-twin control study (longitudinal with baseline and follow-up),United States,0.3061224489795919,BETA_UNSTD,False,False,0.73,0.3061224489795919,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per 10 BDI-II points; note exposure unit,BETA_UNSTD,Years per 10 BDI-II points; note exposure unit
nihms-1900975,Khodasevich,2023,Environmental Research,USA,10.1016/j.envres.2023.116067,prospective cohort,385,,prenatal phthalate exposure,"prenatal urinary concentrations of 11 phthalate metabolites including DEHP summary measure, MBP, MEP, MiBP, MBzP, MCNP, MCPP",chemical (endocrine-disrupting chemicals),Bohlin's gestational age clock at birth; Horvath's pan-tissue clock for childhood,"Gestational Age Acceleration (GAA) at birth; Intrinsic Epigenetic Age Acceleration (IEAA) at ages 7, 9, 14",beta coefficient (linear regression),-0.58,-1.02,-0.13,,0.05,"adjusted linear regression including maternal poverty category, parity, maternal age, maternal smoking, maternal BMI; sex-stratified models for significant phthalate*sex interactions","maternal poverty category, parity, maternal age, maternal smoking, maternal BMI, child sex (in unstratified models), cell proportions for GAA",cohort,United States,0.2270408163265306,BETA_UNSTD,False,False,-0.58,0.2270408163265306,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
nihms-1915286,Batel Blechter,2023,Environmental International,China,10.1016/j.envint.2023.108041,Observational cohort study with repeated measurements,106,56.3,Household air pollution (HAP) from solid fuel combustion,"PAH clusters (PAH31, PAH33, PAH36), 5-methylchrysene (5-MC), smoky coal use","Current, childhood, cumulative",GrimAge,Epigenetic age acceleration (residuals of GrimAge regressed on chronological age),Beta coefficient (years increase in GrimAge EAA per SD increase in exposure),0.77,0.36,1.19,,0.0003,"Adjusted for chronological age, county (Xuanwei or Fuyuan), BMI, education, socioeconomic status","Chronological age, county, BMI, education, socioeconomic status; sensitivity analyses adjusted for season and environmental tobacco smoke exposure",Observational cohort study with repeated measurements,China,0.211734693877551,BETA_UNSTD,False,False,0.77,0.211734693877551,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per SD exposure; exposure unit is SD not raw — note in conversion_notes,BETA_UNSTD,Years per SD exposure; exposure unit is SD not raw — note in conversion_notes
nihms-1937864,Wenli Ni,2023,Environment International,Germany,10.1016/j.envint.2023.108109,longitudinal population-based cohort,2617,59.8,Air temperature,4-week and 8-week moving average air temperature; annual average air temperature,Medium- and long-term exposure,HorvathAA; HannumAA; PhenoAA; GrimAA; SkinBloodAA,Epigenetic age acceleration (difference between epigenetic age and chronological age),Change in epigenetic age acceleration (years),2.24,1.95,2.53,,0.001,"Adjusted for chronological age, sex, education, BMI, alcohol consumption, smoking status, physical activity, season of blood draw, estimated cell types, chip, day of week, time trend, relative humidity; additionally adjusted for air pollutants in sensitivity analyses","chronological age, sex, education, BMI, alcohol consumption, smoking status, physical activity, season, estimated cell types (monocytes, B Cells, CD4 T cells, CD8 T cells, natural killer cells), chip, day of week, time trend, relative humidity",longitudinal population-based cohort,Germany,0.1479591836734694,BETA_UNSTD,False,False,2.24,0.1479591836734694,False,True,False,False,False,yi = beta; sei = SE derived from CI,Mean difference / change score in years,BETA_UNSTD,Mean difference / change score in years
nihms-1940244,Laubach,2024,Annals of Epidemiology,USA,10.1016/j.annepidem.2023.10.003,prospective cohort,205,29.8,maternal social experiences,"maternal experiences of racial bias or discrimination (EOD score categorized as none=0, moderate=1–2, high=3+)",psychosocial,Horvath’s Pan-Tissue clock; Horvath’s Skin & Blood clock; Intrinsic Epigenetic Age Acceleration (IEAA) clock,epigenetic age acceleration (residuals of epigenetic age regressed on chronological age),mean difference in years of EAA,-0.69,-1.23,-0.13,,0.1,Model 1: adjusted for maternal prenatal smoking and child sex,"maternal prenatal smoking, child sex; Model 2 additionally adjusted for EAA at birth",cohort,United States,0.2806122448979592,BETA_UNSTD,False,False,-0.69,0.2806122448979592,False,True,False,False,False,yi = beta; sei = SE derived from CI,Mean difference in years; primary metric,BETA_UNSTD,Mean difference in years; primary metric
nihms-1943037,Koenigsberg,2023,Environment International,USA,10.1016/j.envint.2023.108270,cross-sectional analysis within a prospective cohort,4126,,Air pollution,"PM2.5, PM10, NO2",annual average outdoor residential exposure,DunedinPACE; GrimAgeAccel; PhenoAgeAccel; Horvath IEAA; Hannum EEAA; Skin & Blood EAA,"GrimAgeAccel and DunedinPACE (primary); PhenoAgeAccel (primary); Horvath IEAA, Hannum EEAA, SBEAA (secondary)",beta coefficient (years or unit change in epigenetic age acceleration),1.09,0.16,2.03,,0.05,"sampling-weighted multivariable linear regression adjusted for DNA methylation array, chronological age, race/ethnicity, education, BMI, physical activity, smoking status, pack-years, region, area deprivation index","DNA methylation array (450K, EPIC), chronological age, race/ethnicity (Black, NHW), education level, BMI, physical activity, smoking status, cigarette pack-years, US Census region, neighborhood socioeconomic deprivation (ADI)",cross-sectional analysis within a prospective cohort,United States,0.4770408163265306,BETA_UNSTD,False,False,1.09,0.4770408163265306,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years EAA; primary metric,BETA_UNSTD,Years EAA; primary metric
nihms-2084935,Kurbanov,2025,Am J Physiol Lung Cell Mol Physiol,Belgium,10.1152/ajplung.00171.2024,cross-sectional,16,70.0,Idiopathic Pulmonary Fibrosis severity,"IPF disease status and severity groups (IPF1 early-stage, IPF2 progressive, IPF3 advanced fibrosis)",disease severity,"Horvath, Hannum, PhenoAge, GrimAge, GrimAge2, AltumAge, DunedinPACE",epigenetic age acceleration residuals from regression on chronological age,mean difference in epigenetic age acceleration (years) or estimate difference (DunedinPACE),4.1,,,2.0,0.03,linear mixed-effects model with disease state or severity group as fixed effect and random intercepts for subject,technical and biological factors correlated with principal components; smoking status included but limited; sex restricted to males,cross-sectional,Belgium,2.0,BETA_UNSTD,False,False,4.1,2.0,False,True,False,False,False,yi = beta; sei = SE from paper,Years / DunedinPACE rate; primary metric,BETA_UNSTD,Years / DunedinPACE rate; primary metric
s12889-024-21249-3,Xia,2025,BMC Public Health,United States,10.1186/s12889-024-21249-3,cross-sectional,3925,45.95,Sugar-sweetened beverage (SSB) intake energy and timing,"Energy intake from SSB (kcal/day) categorized as non-intake (0 kcal), low-moderate intake (1–299 kcal), moderate-high intake (≥300 kcal); timing of SSB intake (dawn-to-forenoon, noon-to-afternoon, dusk-to-night)",dietary intake,Phenotypic age (PhenoAge),PhenoAgeAccel (phenotypic age acceleration),beta coefficient (linear regression),0.179,0.086,0.271,,0.001,"Model 3: adjusted for gender, age, race/ethnicity, education level, marital status, poverty income ratio, smoking status, drinking status, recreational activities, history of diabetes, hypertension, cardiovascular disease, stroke, body roundness index (BRI), and body mass index (BMI)","gender, age, race/ethnicity, education level, marital status, poverty income ratio, smoking status, drinking status, recreational activities, history of diabetes, hypertension, cardiovascular disease, stroke, BRI, BMI",cross-sectional,United States,0.04719387755102042,BETA_UNSTD,False,False,0.179,0.04719387755102042,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
s12889-025-22053-3,Liu,2025,BMC Public Health,United States,10.1186/s12889-025-22053-3,cross-sectional,4282,50.01,Cardiometabolic index (CMI),CMI (ln-transformed and quartiles),continuous and categorical,biological age derived from 8 biomarkers (clinical biochemical markers),BioAgeAccel (biological age acceleration = biological age - chronological age),beta coefficient (years increase in BioAgeAccel per unit increase in lnCMI),1.16,1.02,1.31,,0.0001,"Model 3: adjusted for age, sex, ethnicity, family poverty-to-income ratio, education level, hypertension, diabetes, smoking status, alcohol consumption","age, sex, ethnicity, family PIR, education level, hypertension, diabetes, smoking status, alcohol consumption",cross-sectional,United States,0.0739795918367347,BETA_UNSTD,False,False,1.16,0.0739795918367347,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per ln-unit CMI; primary metric,BETA_UNSTD,Years per ln-unit CMI; primary metric
s12916-025-04480-6,Ohi,2025,BMC Medicine,Japan,10.1186/s12916-025-04480-6,case-control,296,35.0,anxiety disorders,"anxiety disorder diagnosis (SAD, PD, GAD)",diagnosis,"PCHannumG2013 (primary), ZhangQ2019, PCHorvathS2018, PCPhenoAge, DunedinPACE (sensitivity)",epigenetic age acceleration residuals (DNAm age residuals on chronological age),regression coefficient (B),-3.46,,,1.16,0.00314,"adjusted for sex, current smoking status, and batch effects (slide variable)","sex, current smoking status, batch effects (slide variable)",case-control,Japan,1.16,BETA_UNSTD,False,False,-3.46,1.16,False,True,False,False,False,yi = beta; sei = SE from paper,Unstandardized B,BETA_UNSTD,Unstandardized B
s12979-025-00500-4,Lin,2025,Immunity & Ageing,USA; China,10.1186/s12979-025-00500-4,Observational; cross-sectional and cohort analyses,12973,41.0,Psoriasis,Psoriasis status; Psoriasis Area and Severity Index (PASI),Disease status and severity,Phenotypic age (PhenoAge); Klemera-Doubal method age (KDM-age),PhenoAge advance (difference between biological and chronological age),Adjusted beta coefficient,0.54,0.12,0.97,,0.018,"Model 3: adjusted for age, gender, race/ethnicity, education, income, physical activity, BMI, smoking, alcohol use, diabetes, hypertension, renal disease, liver disease, thyroid disease, cardiac disease, cancer","Age, gender, race/ethnicity, education, income, physical activity, BMI, smoking, alcohol use, diabetes, hypertension, renal disease, liver disease, thyroid disease, cardiac disease, cancer",Observational; cross-sectional and cohort analyses,USA; China,0.2168367346938775,BETA_UNSTD,False,False,0.54,0.2168367346938775,False,True,False,False,False,yi = beta; sei = SE derived from CI,Adjusted beta in years; use as-is,BETA_UNSTD,Adjusted beta in years; use as-is
s13148-025-01827-x,Daredia,2025,Clinical Epigenetics,USA,10.1186/s13148-025-01827-x,cross-sectional,658,66.1,Reproductive aging,Age at menopause,continuous (years),GrimAge,epigenetic age deviation (residuals from regression of chronological age on epigenetic age),regression coefficient (B),-0.1,-0.19,-0.02,,0.001,"Adjusted for chronological age (continuous), chronological age squared, and self-identified race/ethnicity","BMI, smoking status, alcohol intake, and estimated cell-type proportions considered in sensitivity analyses; adjustment attenuated associations",cross-sectional,United States,0.04336734693877552,BETA_UNSTD,False,False,-0.1,0.04336734693877552,False,True,False,False,False,yi = beta; sei = SE derived from CI,Unstandardized B,BETA_UNSTD,Unstandardized B
s40520-025-02964-2,Fei Shan,2025,Aging Clinical and Experimental Research,United States,10.1007/s40520-025-02964-2,cross-sectional,3376,46.0,serum polyunsaturated fatty acids (PUFAs),total n-6 PUFAs; linoleic acid (LA); gamma-linolenic acid (GLA); arachidonic acid (AA); total n-3 PUFAs; alpha-linolenic acid (ALA); stearidonic acid (SDA); eicosapentaenoic acid (EPA); docosapentaenoic acid (n-3 DPA); docosahexaenoic acid (DHA),continuous (per SD increment) and tertiles,PhenoAge,PhenoAge Acceleration (PhenoAgeAccel),beta coefficient (linear regression),-0.5083,-0.785,-0.2316,,0.001,"Model 3: adjusted for age, sex, race/ethnicity, education, poverty income ratio, body mass index, smoking status, diabetes, hypertension, cardiovascular disease, cancer","age, sex, race/ethnicity, education level, poverty-to-income ratio, body mass index, smoking status, diabetes mellitus, hypertension, cardiovascular disease, cancer",cross-sectional,United States,0.1411734693877551,BETA_UNSTD,False,False,-0.5083,0.1411734693877551,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
s41043-026-01255-4,Chapnick,2026,J Health Popul Nutr,Guatemala,10.1186/s41043-026-01255-4,cross-sectional,1095,45.0,cardiometabolic conditions,"obesity, diabetes, hypertension, metabolic syndrome",disease status,DunedinPACE; PhenoAge; GrimAge,residuals from regressing epigenetic age on chronological age; DunedinPACE values,beta coefficient,0.09,0.07,0.1,,,"adjusted for sex, birth year, sibship clustering","sex, birth year, sibship clustering",cross-sectional,Guatemala,0.007653061224489796,BETA_UNSTD,False,False,0.09,0.007653061224489796,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear beta,BETA_UNSTD,Linear beta
s41467-025-67622-7,Jiang Li,2026,Nature Communications,"UK, US",10.1038/s41467-025-67622-7,prospective cohort,266029,56.1,social determinants of health (SDHs),"combined SDH score (favorable, medium, unfavorable groups)",categorical and continuous SDH score,Klemera–Doubal biological age (KDM-BA); phenotypic age,KDM-BA acceleration; phenotypic age acceleration,beta coefficient (years increase in biological age acceleration per 1-point SDH increment),0.22,0.21,0.23,,0.001,"Model 2: adjusted for age, sex, BMI, smoking status, alcohol drinking, diet, physical activity, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, and medication for cholesterol-lowering, anti-hypertensive, or anti-diabetes","age, sex, BMI, smoking status, alcohol drinking, diet, physical activity, cardiovascular disease, cancer, diabetes, high cholesterol, hypertension, respiratory disease, medication use",cohort,"UK, US",0.005102040816326535,BETA_UNSTD,False,False,0.22,0.005102040816326535,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per SDH point; primary metric,BETA_UNSTD,Years per SDH point; primary metric
s41538-025-00625-2,Xinming Xu,2025,npj Science of Food,USA,10.1038/s41538-025-00625-2,Cross-sectional and survival analysis using NHANES data,34330,46.7,Dietary patterns,"Healthy Eating Index-2020 (HEI2020), Alternate Healthy Eating Index (AHEI), Dietary Approaches to Stop Hypertension (DASH), Alternate Mediterranean Diet Score (aMED), Dietary Inflammatory Index (DII)",Diet quality scores,"GrimAge2, DunedinPoAm, PhenoAge and organ-specific phenotypic ages (CardiovascularAge, KidneyAge, LiverAge, MuscleAge)",Acceleration of epigenetic and phenotypic ages,Beta coefficient (years change in age acceleration per interquintile increase in diet score),-1.85,-2.83,-0.87,,0.001,"Model 2: adjusted for age, sex, ethnicity, education, poverty-income ratio, smoking status, physical activity, body mass index, diabetes, hypertension, cardiovascular disease, cancer, and average calories","Age, sex, ethnicity, education, poverty-income ratio, smoking status, physical activity, BMI, diabetes, hypertension, cardiovascular disease, cancer, average calories",Cross-sectional and survival analysis using NHANES data,United States,0.5,BETA_UNSTD,False,False,-1.85,0.5,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per quintile increment; consistent with primary metric,BETA_UNSTD,Years per quintile increment; consistent with primary metric
s41598-024-82747-3,Egorov,2025,Scientific Reports,USA,10.1038/s41598-024-82747-3,cross-sectional observational,116,57.7,residential greenness,"distance-to-residence weighted tree cover, vegetated land cover, NDVI within 500 m buffer",environmental,"Hannum, Horvath, Levine PhenoAge, Li",residuals from linear regression of epigenetic age on chronological age,change in EAA (years) per interquartile range increase in greenness,-1.6,-2.6,-0.6,,0.002,"adjusted for race (white vs nonwhite), sex, waist-to-hip ratio, height, smoking status, white blood cell fractions, and two-dimensional spline of geographic coordinates","race, sex, waist-to-hip ratio, height, smoking status, WBC types (CD4+ T cells, CD8+ T cells, granulocytes, monocytes), spatial spline",cross-sectional,United States,0.5102040816326531,BETA_UNSTD,False,False,-1.6,0.5102040816326531,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per IQR; primary metric,BETA_UNSTD,Years per IQR; primary metric
sciadv.adl3747,Cui,2024,Science Advances,United Kingdom,10.1126/sciadv.adl3747,population-based cohort study,276259,56.38,early-life tobacco exposure,in utero tobacco exposure; age of smoking initiation,self-reported tobacco exposure,Klemera-Doubal biological age (KDM-BA); PhenoAge; telomere length,KDM-BA acceleration; PhenoAge acceleration; telomere length percent change,beta coefficient (years for KDM-BA and PhenoAge acceleration; percent change for telomere length),0.26,0.24,0.29,,0.001,"Model 2 adjusted for age at recruitment, sex, ethnicity, and birthplace","age at recruitment, sex, ethnicity, birthplace",population-based cohort study,United Kingdom,0.01275510204081632,BETA_UNSTD,False,False,0.26,0.01275510204081632,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years part extracted for PhenoAge/KDM; telomere % part flagged separately,BETA_UNSTD,Years part extracted for PhenoAge/KDM; telomere % part flagged separately
sex_differences_in_the_association_between_fatty.58,Yang,2025,Medicine,USA,10.1097/MD.0000000000046152,cross-sectional,16479,46.0,Metabolic dysfunction-associated steatotic liver disease (MASLD),Fatty liver index (FLI),continuous and quartiles,Phenotypic age (PhenoAge),PhenoAge acceleration (PhenoAgeAccel),beta coefficient and odds ratio,2.96,2.73,3.18,,0.001,"Model 3: adjusted for demographics, lifestyle behaviors, and clinical covariates","age, sex, race, education, marital status, poverty-income ratio, smoking status, drinking status, physical activity, hypertension, diabetes mellitus, cardiovascular disease, chronic kidney disease, cancer",cross-sectional,United States,0.114795918367347,BETA_UNSTD,False,False,2.96,0.114795918367347,False,True,False,False,False,yi = beta; sei = SE derived from CI,Extract beta for primary pool; OR part → pool C separately; note in conversion,BETA_UNSTD,Extract beta for primary pool; OR part → pool C separately; note in conversion
Skinner_2024_JAGS,Skinner,2024,J Am Geriatr Soc,USA,10.1111/jgs.18726,Cohort study (Women’s Health Initiative ancillary studies),3988,,Psychosocial stress,Stressful life events (SLEs) burden over past year (dichotomized low 0-2 vs high 3-33),Self-reported questionnaire,GrimAge; DNAmTL,Epigenetic age acceleration (GrimAge acceleration and DNAmTL),Regression coefficient (β),0.34,0.08,0.59,,0.01,"Adjusted for chronological age, income, education level, marriage status, BMI, genetic ancestry principal components, DNAm-estimated blood cell proportions; GrimAge model not adjusted for smoking","Income, education level, marriage status, BMI, genetic ancestry principal components, DNAm-estimated blood cell proportions",Cohort study (Women’s Health Initiative ancillary studies),United States,0.1301020408163265,BETA_UNSTD,False,False,0.34,0.1301020408163265,False,True,False,False,False,yi = beta; sei = SE derived from CI,Linear regression beta,BETA_UNSTD,Linear regression beta
Suglia_2024,Suglia,2024,Psychosomatic Medicine,USA,10.1097/PSY.0000000000001284,prospective cohort,359,50.0,psychosocial stressors,"total life stress; childhood stress; adulthood stress (economic, traumatic, relational, discrimination)",cumulative life course stress,GrimAge; DunedinPACE; Skin & Blood; Horvath; Hannum; PhenoAge,"age acceleration residuals (GrimAge, DunedinPACE, Skin & Blood)",beta coefficient,0.488,,,0.156,0.002,"adjusted for sex, race, smoking status","sex, race, smoking status, cell composition (sensitivity analyses), batch effects (sensitivity analyses)",cohort,United States,0.156,BETA_UNSTD,False,False,0.488,0.156,False,True,False,False,False,yi = beta; sei = SE from paper,Linear beta,BETA_UNSTD,Linear beta
White_2019_EnvironInt,White,2019,Environment International,USA,10.1016/j.envint.2019.105071,cross-sectional analysis within a prospective cohort,2747,57.0,Air pollution,"PM2.5, PM10, NO2; PM2.5 component clusters",Residential outdoor air pollution annual average concentrations,"Levine, Hannum, Horvath",Residuals of DNAm age regressed on chronological age (age acceleration),beta coefficient per IQR increase in pollutant,-0.24,-0.47,-0.02,,0.03,"Adjusted for future breast cancer case status, education, smoking status, hormone therapy use","Future breast cancer case status, education (3 levels), smoking status (current, former, never), hormone therapy use (ever, never)",cross-sectional analysis within a prospective cohort,United States,0.1147959183673469,BETA_UNSTD,False,False,-0.24,0.1147959183673469,False,True,False,False,False,yi = beta; sei = SE derived from CI,Years per IQR; note IQR-scaled exposure,BETA_UNSTD,Years per IQR; note IQR-scaled exposure
Xu_2026_Mediators_of_Inflammation,Yangyu Xu,2026,Mediators of Inflammation,United States,10.1155/mi/9987170,cross-sectional,1053,,inflammatory marker,neutrophil percentage-to-albumin ratio (NPAR),"continuous and tertiles (T1, T2, T3)",Klemera–Doubal method (KDM) and Phenotypic age (PhenoAge),biological age acceleration (difference between BA and chronological age),beta coefficient (linear regression) and odds ratio (logistic regression) for accelerated aging,0.86,0.39,1.32,,0.001,"Model 4: adjusted for age, gender, race, education level, marital status, poverty–income ratio, smoking status, alcohol consumption, physical activity, BMI, hypertension, diabetes, and cancer history","age, gender, race, education level, marital status, poverty–income ratio, smoking status, alcohol consumption, physical activity, BMI, hypertension, diabetes, cancer history",cross-sectional,United States,0.2372448979591837,BETA_UNSTD,False,False,0.86,0.2372448979591837,False,True,False,False,False,yi = beta; sei = SE derived from CI,Extract linear beta for primary pool; OR part → pool C; note in conversion,BETA_UNSTD,Extract linear beta for primary pool; OR part → pool C; note in conversion
