PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"39373995","Longitudinal Changes in Epigenetic Age Acceleration Across Childhood and Adolescence","Del Toro J, Martz C, Freilich CD, Rea-Sandin G, Markon K, Cole S, Krueger RF, Wilson S.","JAMA Pediatr. 2024 Dec 1;178(12):1298-1306. doi: 10.1001/jamapediatrics.2024.3669.","Del Toro J","JAMA Pediatr","2024","2024/10/07","PMC11459359","","10.1001/jamapediatrics.2024.3669"
"38609099","Cannabis smoking is associated with advanced epigenetic age","Hernandez Cordero AI, Li X, Yang CX, Ambalavanan A, MacIsaac JL, Kobor MS, Doiron D, Tan W, Bourbeau J, Sin DD, Duan Q, Leung JM; CanCOLD Collaborative Research Group.","Eur Respir J. 2024 May 2;63(5):2400458. doi: 10.1183/13993003.00458-2024. Print 2024 May.","Hernandez Cordero AI","Eur Respir J","2024","2024/04/12","PMC11063617","","10.1183/13993003.00458-2024"
"39502823","Association between the Planetary Health Diet Index and biological aging among the U.S. population","Huang S, Hu H, Gong H.","Front Public Health. 2024 Oct 22;12:1482959. doi: 10.3389/fpubh.2024.1482959. eCollection 2024.","Huang S","Front Public Health","2024","2024/11/06","PMC11534585","","10.3389/fpubh.2024.1482959"
"35397259","Association of subjective social status with epigenetic aging among Black and White women","Hamlat EJ, Adler NE, Laraia B, Surachman A, Lu AT, Zhang J, Horvath S, Epel ES.","Psychoneuroendocrinology. 2022 Jul;141:105748. doi: 10.1016/j.psyneuen.2022.105748. Epub 2022 Mar 25.","Hamlat EJ","Psychoneuroendocrinology","2022","2022/04/09","PMC10228718","NIHMS1901666","10.1016/j.psyneuen.2022.105748"
"35113041","Work-related stress and well-being in association with epigenetic age acceleration: A Northern Finland Birth Cohort 1966 Study","Freni-Sterrantino A, Fiorito G, D'Errico A, Robinson O, Virtanen M, Ala-Mursula L, Järvelin MR, Ronkainen J, Vineis P.","Aging (Albany NY). 2022 Feb 2;14(3):1128-1156. doi: 10.18632/aging.203872. Epub 2022 Feb 2.","Freni-Sterrantino A","Aging (Albany NY)","2022","2022/02/03","PMC8876924","","10.18632/aging.203872"
"39683600","Associations Between Metabolic Age, Sociodemographic Variables, and Lifestyle Factors in Spanish Workers","Ramírez-Gallegos I, Marina-Arroyo M, López-González ÁA, Vallejos D, Martínez-Almoyna-Rifá E, Tárraga López PJ, Ramírez-Manent JI.","Nutrients. 2024 Dec 5;16(23):4207. doi: 10.3390/nu16234207.","Ramírez-Gallegos I","Nutrients","2024","2024/12/17","PMC11644425","","10.3390/nu16234207"
"35162071","Moving Forward: Understanding Correlates of Physical Activity and Sedentary Behaviour during COVID-19 in Children and Adolescents-An Integrative Review and Socioecological Approach","Knight RL, McNarry MA, Runacres AW, Shelley J, Sheeran L, Mackintosh KA.","Int J Environ Res Public Health. 2022 Jan 18;19(3):1044. doi: 10.3390/ijerph19031044.","Knight RL","Int J Environ Res Public Health","2022","2022/02/15","PMC8834078","","10.3390/ijerph19031044"
"34948253","Epigenetic Age Acceleration Is Not Associated with Age-Related Macular Degeneration","Saptarshi N, Green D, Cree A, Lotery A, Paraoan L, Porter LF.","Int J Mol Sci. 2021 Dec 15;22(24):13457. doi: 10.3390/ijms222413457.","Saptarshi N","Int J Mol Sci","2021","2021/12/24","PMC8705580","","10.3390/ijms222413457"
"37899644","Epigenetic Age Acceleration and Chronological Age: Associations With Cognitive Performance in Daily Life","Zavala DV, Dzikowski N, Gopalan S, Harrington KD, Pasquini G, Mogle J, Reid K, Sliwinski M, Graham-Engeland JE, Engeland CG, Bernard K, Veeramah K, Scott SB.","J Gerontol A Biol Sci Med Sci. 2024 Jan 1;79(1):glad242. doi: 10.1093/gerona/glad242.","Zavala DV","J Gerontol A Biol Sci Med Sci","2024","2023/10/30","PMC10733172","","10.1093/gerona/glad242"
"35037036","Epigenetic Age Acceleration and Change in Frailty in MOBILIZE Boston","Seligman BJ, Berry SD, Lipsitz LA, Travison TG, Kiel DP.","J Gerontol A Biol Sci Med Sci. 2022 Sep 1;77(9):1760-1765. doi: 10.1093/gerona/glac019.","Seligman BJ","J Gerontol A Biol Sci Med Sci","2022","2022/01/17","PMC9434439","","10.1093/gerona/glac019"
"35643537","Lifetime exposure to smoking, epigenetic aging, and morbidity and mortality in older adults","Klopack ET, Carroll JE, Cole SW, Seeman TE, Crimmins EM.","Clin Epigenetics. 2022 May 28;14(1):72. doi: 10.1186/s13148-022-01286-8.","Klopack ET","Clin Epigenetics","2022","2022/06/01","PMC9148451","","10.1186/s13148-022-01286-8"
"41025454","Epigenetic Clock Analysis of Sex Chromosome Aneuploidies","Zhang J, Teoli J, Rey B, Vieira C, Lemaitre JF, Plotton I, Marais GAB, Horvath S.","Aging Cell. 2025 Nov;24(11):e70243. doi: 10.1111/acel.70243. Epub 2025 Sep 30.","Zhang J","Aging Cell","2025","2025/09/30","PMC12610412","","10.1111/acel.70243"
"40605113","Epigenetic age acceleration and rheumatoid arthritis: an NHANES-based analysis and survival prediction models","Ou Y, Wang Z, Yuan Y, He Y, Li W, Ren H, Li J, Chen S, Liu Y.","Clin Epigenetics. 2025 Jul 2;17(1):111. doi: 10.1186/s13148-025-01919-8.","Ou Y","Clin Epigenetics","2025","2025/07/03","PMC12224362","","10.1186/s13148-025-01919-8"
"39073819","Psychosocial Disadvantage During Childhood and Midlife Health: NIMHD Social Epigenomics Program","Brown RL, Alegria KE, Hamlat E, Tomiyama AJ, Laraia B, Crimmins EM, Moffitt TE, Epel ES.","JAMA Netw Open. 2024 Jul 1;7(7):e2421841. doi: 10.1001/jamanetworkopen.2024.21841.","Brown RL","JAMA Netw Open","2024","2024/07/29","PMC11287423","","10.1001/jamanetworkopen.2024.21841"
"38874516","Associations of childhood, adolescence, and midlife cognitive function with DNA methylation age acceleration in midlife","Chen J, Moubadder L, Clausing ES, Kezios KL, Conneely KN, Hüls A, Baccarelli A, Factor-Litvak P, Cirrillo P, Shelton RC, Link BG, Suglia SF.","Aging (Albany NY). 2024 Jun 13;16(11):9350-9368. doi: 10.18632/aging.205943. Epub 2024 Jun 13.","Chen J","Aging (Albany NY)","2024","2024/06/14","PMC11210249","","10.18632/aging.205943"
"41402808","DNA methylation-based clocks, tobacco smoking, and lung cancer risk","Penha RCC, Onwuka JU, Langdon R, Sandanger TM, Nøst TH, Vineis P, Johansson M, Milne RL, Dugué PA, Relton C, Suderman M, McKay J, Johansson M.","BMC Med. 2025 Dec 17;24(1):40. doi: 10.1186/s12916-025-04542-9.","Penha RCC","BMC Med","2025","2025/12/16","PMC12821802","","10.1186/s12916-025-04542-9"
"38345302","Cumulative Stress Across the Life Course and Biological Aging in Adulthood","Suglia SF, Clausing ES, Shelton RC, Conneely K, Prada-Ortega D, DeVivo I, Factor-Litvak P, Cirillo P, Baccarelli AA, Cohn B, Link BG.","Psychosom Med. 2024 Apr 1;86(3):137-145. doi: 10.1097/PSY.0000000000001284. Epub 2024 Jan 10.","Suglia SF","Psychosom Med","2024","2024/02/12","PMC11001534","NIHMS1956856","10.1097/PSY.0000000000001284"
"31387022","Air pollution, particulate matter composition and methylation-based biologic age","White AJ, Kresovich JK, Keller JP, Xu Z, Kaufman JD, Weinberg CR, Taylor JA, Sandler DP.","Environ Int. 2019 Nov;132:105071. doi: 10.1016/j.envint.2019.105071. Epub 2019 Aug 3.","White AJ","Environ Int","2019","2019/08/07","PMC6754788","NIHMS1537078","10.1016/j.envint.2019.105071"
"33146735","Association of Neighborhood Deprivation With Epigenetic Aging Using 4 Clock Metrics","Lawrence KG, Kresovich JK, O'Brien KM, Hoang TT, Xu Z, Taylor JA, Sandler DP.","JAMA Netw Open. 2020 Nov 2;3(11):e2024329. doi: 10.1001/jamanetworkopen.2020.24329.","Lawrence KG","JAMA Netw Open","2020","2020/11/04","PMC7643028","","10.1001/jamanetworkopen.2020.24329"
"39992867","Epigenetic age acceleration in peripheral blood correlates with brain-MRI age acceleration","Sant'Anna Barbosa Ferreira P, van Dongen J, den Braber A, Boomsma DI, de Geus EJC, van 't Ent D.","Brain. 2025 Aug 1;148(8):2861-2868. doi: 10.1093/brain/awaf069.","Sant'Anna Barbosa Ferreira P","Brain","2025","2025/02/24","PMC12316020","","10.1093/brain/awaf069"
"31001624","A Systematic Review and Meta-analysis of Environmental, Lifestyle, and Health Factors Associated With DNA Methylation Age","Ryan J, Wrigglesworth J, Loong J, Fransquet PD, Woods RL.","J Gerontol A Biol Sci Med Sci. 2020 Feb 14;75(3):481-494. doi: 10.1093/gerona/glz099.","Ryan J","J Gerontol A Biol Sci Med Sci","2020","2019/04/20","PMC7328212","","10.1093/gerona/glz099"
"39026267","Effects of walking on epigenetic age acceleration: a Mendelian randomization study","Chen GY, Liu C, Xia Y, Wang PX, Zhao ZY, Li AY, Zhou CQ, Xiang C, Zhang JL, Zeng Y, Gu P, Li H.","Clin Epigenetics. 2024 Jul 18;16(1):94. doi: 10.1186/s13148-024-01707-w.","Chen GY","Clin Epigenetics","2024","2024/07/18","PMC11256679","","10.1186/s13148-024-01707-w"
"39014432","The association between sleep quality and accelerated epigenetic aging with metabolic syndrome in Korean adults","Lee HS, Kim B, Park T.","Clin Epigenetics. 2024 Jul 16;16(1):92. doi: 10.1186/s13148-024-01706-x.","Lee HS","Clin Epigenetics","2024","2024/07/16","PMC11253334","","10.1186/s13148-024-01706-x"
"37885906","Epigenetic age acceleration as a biomarker for impaired cognitive abilities in adulthood following early life adversity and psychiatric disorders","Felt JM, Yusupov N, Harrington KD, Fietz J, Zhang ZZ, Sliwinski MJ, Ram N, O'Donnell KJ; BeCOME Working Group; Meaney MJ, Putnam FW, Noll JG, Binder EB, Shenk CE.","Neurobiol Stress. 2023 Oct 15;27:100577. doi: 10.1016/j.ynstr.2023.100577. eCollection 2023 Nov.","Felt JM","Neurobiol Stress","2023","2023/10/27","PMC10597797","","10.1016/j.ynstr.2023.100577"
"35277542","Epigenome-wide association study and epigenetic age acceleration associated with cigarette smoking among Costa Rican adults","Cardenas A, Ecker S, Fadadu RP, Huen K, Orozco A, McEwen LM, Engelbrecht HR, Gladish N, Kobor MS, Rosero-Bixby L, Dow WH, Rehkopf DH.","Sci Rep. 2022 Mar 11;12(1):4277. doi: 10.1038/s41598-022-08160-w.","Cardenas A","Sci Rep","2022","2022/03/12","PMC8917214","","10.1038/s41598-022-08160-w"
"30660189","Leisure-time physical activity and DNA methylation age-a twin study","Sillanpää E, Ollikainen M, Kaprio J, Wang X, Leskinen T, Kujala UM, Törmäkangas T.","Clin Epigenetics. 2019 Jan 19;11(1):12. doi: 10.1186/s13148-019-0613-5.","Sillanpää E","Clin Epigenetics","2019","2019/01/21","PMC6339334","","10.1186/s13148-019-0613-5"
"37708820","Smoking affects epigenetic ageing of lung bronchoalveolar lavage cells in Multiple Sclerosis","Klose D, Needhamsen M, Ringh MV, Hagemann-Jensen M, Jagodic M, Kular L.","Mult Scler Relat Disord. 2023 Nov;79:104991. doi: 10.1016/j.msard.2023.104991. Epub 2023 Sep 9.","Klose D","Mult Scler Relat Disord","2023","2023/09/14","","","10.1016/j.msard.2023.104991"
"39432567","Neighborhood Stressors and Epigenetic Age Acceleration Among Older Americans","Choi EY, Ailshire JA.","J Gerontol B Psychol Sci Soc Sci. 2024 Dec 1;79(12):gbae176. doi: 10.1093/geronb/gbae176.","Choi EY","J Gerontol B Psychol Sci Soc Sci","2024","2024/10/21","PMC11582398","","10.1093/geronb/gbae176"
"40003942","Epigenetics-Based Age Acceleration Associated with 2,3,7,8 TCDD Exposure in Older Americans","Choi BY, Ryoo SW, Son SY, Lee JH, Min KB, Min JY.","Int J Mol Sci. 2025 Feb 10;26(4):1478. doi: 10.3390/ijms26041478.","Choi BY","Int J Mol Sci","2025","2025/02/26","PMC11855520","","10.3390/ijms26041478"
"39407257","Influence of physical activity on the epigenetic clock: evidence from a Japanese cross-sectional study","Nagata M, Komaki S, Nishida Y, Ohmomo H, Hara M, Tanaka K, Shimizu A.","Clin Epigenetics. 2024 Oct 15;16(1):142. doi: 10.1186/s13148-024-01756-1.","Nagata M","Clin Epigenetics","2024","2024/10/15","PMC11481432","","10.1186/s13148-024-01756-1"
"40511567","Physical Activity Is Associated With Decreased Epigenetic Aging: Findings From the Health and Retirement Study","Ammous F, Peterson MD, Mitchell C, Faul JD.","J Cachexia Sarcopenia Muscle. 2025 Jun;16(3):e13873. doi: 10.1002/jcsm.13873.","Ammous F","J Cachexia Sarcopenia Muscle","2025","2025/06/13","PMC12163535","","10.1002/jcsm.13873"
"36827906","Stressful life events and accelerated biological aging over time in youths","Sumner JA, Gao X, Gambazza S, Dye CK, Colich NL, Baccarelli AA, Uddin M, McLaughlin KA.","Psychoneuroendocrinology. 2023 May;151:106058. doi: 10.1016/j.psyneuen.2023.106058. Epub 2023 Feb 17.","Sumner JA","Psychoneuroendocrinology","2023","2023/02/24","PMC10364461","NIHMS1917174","10.1016/j.psyneuen.2023.106058"
"36750177","Epigenetic age and lung cancer risk in the CLUE II prospective cohort study","Michaud DS, Chung M, Zhao N, Koestler DC, Lu J, Platz EA, Kelsey KT.","Aging (Albany NY). 2023 Feb 7;15(3):617-629. doi: 10.18632/aging.204501. Epub 2023 Feb 7.","Michaud DS","Aging (Albany NY)","2023","2023/02/07","PMC9970317","","10.18632/aging.204501"
"40524240","Association between pace of biological aging and cancer and the modulating role of physical activity: a national cross-sectional study","Nong J, Wang Y, Zhang Y.","Clin Epigenetics. 2025 Jun 16;17(1):103. doi: 10.1186/s13148-025-01912-1.","Nong J","Clin Epigenetics","2025","2025/06/16","PMC12172232","","10.1186/s13148-025-01912-1"
"38176546","Prenatal and childhood lead exposure is prospectively associated with biological markers of aging in adolescence","Halabicky OM, Téllez-Rojo MM, Goodrich JM, Dolinoy DC, Mercado-García A, Hu H, Peterson KE.","Sci Total Environ. 2024 Feb 25;913:169757. doi: 10.1016/j.scitotenv.2023.169757. Epub 2024 Jan 2.","Halabicky OM","Sci Total Environ","2024","2024/01/04","PMC10823594","NIHMS1959753","10.1016/j.scitotenv.2023.169757"
"38824837","Associations between epigenetic age acceleration and longitudinal measures of psychosocioeconomic stress and status","Markon KE, Mann F, Freilich C, Cole S, Krueger RF.","Soc Sci Med. 2024 Jul;352:116990. doi: 10.1016/j.socscimed.2024.116990. Epub 2024 May 24.","Markon KE","Soc Sci Med","2024","2024/06/02","PMC11239272","NIHMS2000413","10.1016/j.socscimed.2024.116990"
"37517177","Associations between medium- and long-term exposure to air temperature and epigenetic age acceleration","Ni W, Nikolaou N, Ward-Caviness CK, Breitner S, Wolf K, Zhang S, Wilson R, Waldenberger M, Peters A, Schneider A.","Environ Int. 2023 Aug;178:108109. doi: 10.1016/j.envint.2023.108109. Epub 2023 Jul 23.","Ni W","Environ Int","2023","2023/07/30","PMC10656697","NIHMS1937864","10.1016/j.envint.2023.108109"
"33197920","Socio-Environmental, Lifestyle, Behavioural, and Psychological Determinants of Biological Ageing: The Singapore Longitudinal Ageing Study","Ng TP, Zhong X, Gao Q, Gwee X, Chua DQL, Larbi A.","Gerontology. 2020;66(6):603-613. doi: 10.1159/000511211. Epub 2020 Nov 16.","Ng TP","Gerontology","2020","2020/11/16","","","10.1159/000511211"
"38949160","Associations between Sleep and Physical Activity Behavior Clusters and Epigenetic Age Acceleration in Mexican Adolescents","Banker M, Jansen EC, Goodrich JM, English L, Dolinoy DC, Song PXK, Mitchell JA, Téllez-Rojo MM, Cantoral A, Peterson KE.","Med Sci Sports Exerc. 2024 Nov 1;56(11):2173-2183. doi: 10.1249/MSS.0000000000003498. Epub 2024 Jul 1.","Banker M","Med Sci Sports Exerc","2024","2024/07/01","PMC11524790","NIHMS1999636","10.1249/MSS.0000000000003498"
"30738172","Epigenetic age acceleration is associated with allergy and asthma in children in Project Viva","Peng C, Cardenas A, Rifas-Shiman SL, Hivert MF, Gold DR, Platts-Mills TA, Lin X, Oken E, Avila L, Celedón JC, Weiss ST, Baccarelli AA, Litonjua AA, DeMeo DL.","J Allergy Clin Immunol. 2019 Jun;143(6):2263-2270.e14. doi: 10.1016/j.jaci.2019.01.034. Epub 2019 Feb 6.","Peng C","J Allergy Clin Immunol","2019","2019/02/10","PMC6556426","NIHMS1520991","10.1016/j.jaci.2019.01.034"
"36959562","Associations of sleeping, sedentary and physical activity with phenotypic age acceleration: a cross-sectional isotemporal substitution model","Han M, Fang J, Zhang Y, Song X, Jin L, Ma Y.","BMC Geriatr. 2023 Mar 23;23(1):165. doi: 10.1186/s12877-023-03874-6.","Han M","BMC Geriatr","2023","2023/03/24","PMC10035275","","10.1186/s12877-023-03874-6"
"38149693","Stressful life events, social support, and epigenetic aging in the Women's Health Initiative","Skinner HG, Palma-Gudiel H, Stewart JD, Love SA, Bhatti P, Shadyab AH, Wallace RB, Salmoirago-Blotcher E, Manson JE, Kroenke CH, Belsky DW, Li Y, Whitsel EA, Zannas AS.","J Am Geriatr Soc. 2024 Feb;72(2):349-360. doi: 10.1111/jgs.18726. Epub 2023 Dec 27.","Skinner HG","J Am Geriatr Soc","2024","2023/12/27","PMC10922473","NIHMS1951076","10.1111/jgs.18726"
"31375641","Environmental exposure to polybrominated biphenyl (PBB) associates with an increased rate of biological aging","Curtis SW, Cobb DO, Kilaru V, Terrell ML, Marder ME, Barr DB, Marsit CJ, Marcus M, Conneely KN, Smith AK.","Aging (Albany NY). 2019 Aug 2;11(15):5498-5517. doi: 10.18632/aging.102134. Epub 2019 Aug 2.","Curtis SW","Aging (Albany NY)","2019","2019/08/04","PMC6710070","","10.18632/aging.102134"
"38744065","Associations of phthalates with accelerated aging and the mitigating role of physical activity","Qian T, Zhang J, Liu J, Wu J, Ruan Z, Shi W, Fan Y, Ye D, Fang X.","Ecotoxicol Environ Saf. 2024 Jun 15;278:116438. doi: 10.1016/j.ecoenv.2024.116438. Epub 2024 May 13.","Qian T","Ecotoxicol Environ Saf","2024","2024/05/14","","","10.1016/j.ecoenv.2024.116438"
"39587618","Parental epigenetic age acceleration and risk of adverse birth outcomes: the Norwegian mother, father and child cohort study","Magnus MC, Lee Y, Carlsen EØ, Arge LA, Jugessur A, Kvalvik LG, Morken NH, Ramlau-Hansen CH, Myrskylä M, Magnus P, Håberg SE.","BMC Med. 2024 Nov 25;22(1):554. doi: 10.1186/s12916-024-03780-7.","Magnus MC","BMC Med","2024","2024/11/26","PMC11590542","","10.1186/s12916-024-03780-7"
"31466396","Education and Lifestyle Factors Are Associated with DNA Methylation Clocks in Older African Americans","Zhao W, Ammous F, Ratliff S, Liu J, Yu M, Mosley TH, Kardia SLR, Smith JA.","Int J Environ Res Public Health. 2019 Aug 28;16(17):3141. doi: 10.3390/ijerph16173141.","Zhao W","Int J Environ Res Public Health","2019","2019/08/31","PMC6747433","","10.3390/ijerph16173141"
"39563442","Associations of epigenetic age acceleration at birth and age 12 years with adolescent cardiometabolic risk: the HOME study","Arzu JL, Kelsey KT, Papandonatos GD, Cecil KM, Chen A, Langevin SM, Lanphear BP, Yolton K, Buckley JP, Braun JM.","Clin Epigenetics. 2024 Nov 19;16(1):163. doi: 10.1186/s13148-024-01779-8.","Arzu JL","Clin Epigenetics","2024","2024/11/20","PMC11577890","","10.1186/s13148-024-01779-8"
"27276709","Relationship of tobacco smoking and smoking-related DNA methylation with epigenetic age acceleration","Gao X, Zhang Y, Breitling LP, Brenner H.","Oncotarget. 2016 Jul 26;7(30):46878-46889. doi: 10.18632/oncotarget.9795.","Gao X","Oncotarget","2016","2016/06/09","PMC5216910","","10.18632/oncotarget.9795"
"33693587","Associations of Body Composition and Physical Activity Level With Multiple Measures of Epigenetic Age Acceleration","Kresovich JK, Garval EL, Martinez Lopez AM, Xu Z, Niehoff NM, White AJ, Sandler DP, Taylor JA.","Am J Epidemiol. 2021 Jun 1;190(6):984-993. doi: 10.1093/aje/kwaa251.","Kresovich JK","Am J Epidemiol","2021","2021/03/11","PMC8168202","","10.1093/aje/kwaa251"
"39907822","Associations between lifestyle factors, physiological conditions, and epigenetic age acceleration in an Asian population","Wu YR, Lin WY.","Biogerontology. 2025 Feb 5;26(2):51. doi: 10.1007/s10522-025-10195-1.","Wu YR","Biogerontology","2025","2025/02/05","PMC11799100","","10.1007/s10522-025-10195-1"
"36815559","The Association of Physical Activity Behaviors and Patterns With Aging Acceleration: Evidence From the UK Biobank","Zhu J, Yang Y, Zeng Y, Han X, Chen W, Hu Y, Qu Y, Yang H, Valdimarsdóttir UA, Fang F, Song H.","J Gerontol A Biol Sci Med Sci. 2023 May 11;78(5):753-761. doi: 10.1093/gerona/glad064.","Zhu J","J Gerontol A Biol Sci Med Sci","2023","2023/02/23","PMC10172984","","10.1093/gerona/glad064"
"33431923","Biological age and lifestyle in the diagnosis of metabolic syndrome: the NHIS health screening data, 2014-2015","Bae CY, Piao M, Kim M, Im Y, Kim S, Kim D, Choi J, Cho KH.","Sci Rep. 2021 Jan 11;11(1):444. doi: 10.1038/s41598-020-79256-4.","Bae CY","Sci Rep","2021","2021/01/12","PMC7801435","","10.1038/s41598-020-79256-4"
"41197401","Accelerated biological aging and its hallmarks in DNA methylation drive the association between unhealthy lifestyles and the onset of colorectal cancer","Sun J, Liu M, Zhang X, Li X, Ye J, Zhao J, Zhou S, Ji H, Tan Y, Bian Z, Zhang D, Dunlop MG, Song M, Smith-Warner SA, Wu H, Theodoratou E, Cao Q, Li X.","EBioMedicine. 2025 Dec;122:106005. doi: 10.1016/j.ebiom.2025.106005. Epub 2025 Nov 5.","Sun J","EBioMedicine","2025","2025/11/06","PMC12634281","","10.1016/j.ebiom.2025.106005"
"33272294","The effects of everyday-life exposure to polycyclic aromatic hydrocarbons on biological age indicators","Pavanello S, Campisi M, Mastrangelo G, Hoxha M, Bollati V.","Environ Health. 2020 Dec 3;19(1):128. doi: 10.1186/s12940-020-00669-9.","Pavanello S","Environ Health","2020","2020/12/04","PMC7713168","","10.1186/s12940-020-00669-9"
"40281065","Associations of healthy lifestyle and accelerated aging with incident breast cancer in pre- and postmenopausal women: a population-based cohort study","Liu W, Yan M, Fan Z, Ma Z, Zhu Y, Chang H, Jiang R, Ren C.","Sci Rep. 2025 Apr 25;15(1):14524. doi: 10.1038/s41598-025-98625-5.","Liu W","Sci Rep","2025","2025/04/25","PMC12032409","","10.1038/s41598-025-98625-5"
"40825776","Epigenetic age acceleration and midlife cognition: joint evidence from observational study and Mendelian randomization","Pan Y, Huang Z, Sun X, De Anda-Duran I, Zhang R, Chen W, Li C, Capuano AW, Yaffe K, Zhao J, Bennett DA, Carmichael OT, Bazzano LA, Kelly TN.","NPJ Aging. 2025 Aug 18;11(1):75. doi: 10.1038/s41514-025-00265-6.","Pan Y","NPJ Aging","2025","2025/08/18","PMC12361426","","10.1038/s41514-025-00265-6"
"38802805","Epigenetic age acceleration is associated with blood lipid levels in a multi-ancestry sample of older U.S. adults","Lin L, Kiryakos J, Ammous F, Ratliff SM, Ware EB, Faul JD, Kardia SLR, Zhao W, Birditt KS, Smith JA.","BMC Med Genomics. 2024 May 27;17(1):146. doi: 10.1186/s12920-024-01914-7.","Lin L","BMC Med Genomics","2024","2024/05/27","PMC11129464","","10.1186/s12920-024-01914-7"
"37279588","Association of Neighborhood Deprivation and Depressive Symptoms With Epigenetic Age Acceleration: Evidence From the Canadian Longitudinal Study on Aging","Joshi D, van Lenthe FJ, Huisman M, Sund ER, Krokstad S, Avendano M, Raina P.","J Gerontol A Biol Sci Med Sci. 2024 Feb 1;79(2):glad118. doi: 10.1093/gerona/glad118.","Joshi D","J Gerontol A Biol Sci Med Sci","2024","2023/06/06","PMC10809038","","10.1093/gerona/glad118"
"37330047","Effects of lifestyle and associated diseases on serum CC16 suggest complex interactions among metabolism, heart and lungs","Rohmann N, Stürmer P, Geisler C, Schlicht K, Knappe C, Hartmann K, Türk K, Hollstein T, Beckmann A, Seoudy AK, Becker U, Wietzke-Braun P, Settgast U, Tran F, Rosenstiel P, Beckmann JH, von Schönfels W, Seifert S, Heyckendorf J, Franke A, Schreiber S, Schulte DM, Laudes M.","J Adv Res. 2024 May;59:161-171. doi: 10.1016/j.jare.2023.06.005. Epub 2023 Jun 16.","Rohmann N","J Adv Res","2024","2023/06/17","PMC11081936","","10.1016/j.jare.2023.06.005"
"31211779","Associations of genetics, behaviors, and life course circumstances with a novel aging and healthspan measure: Evidence from the Health and Retirement Study","Liu Z, Chen X, Gill TM, Ma C, Crimmins EM, Levine ME.","PLoS Med. 2019 Jun 18;16(6):e1002827. doi: 10.1371/journal.pmed.1002827. eCollection 2019 Jun.","Liu Z","PLoS Med","2019","2019/06/19","PMC6581243","","10.1371/journal.pmed.1002827"
"33277923","Associations of Alcohol Consumption With Epigenome-Wide DNA Methylation and Epigenetic Age Acceleration: Individual-Level and Co-twin Comparison Analyses","Stephenson M, Bollepalli S, Cazaly E, Salvatore JE, Barr P, Rose RJ, Dick D, Kaprio J, Ollikainen M.","Alcohol Clin Exp Res. 2021 Feb;45(2):318-328. doi: 10.1111/acer.14528. Epub 2020 Dec 30.","Stephenson M","Alcohol Clin Exp Res","2021","2020/12/05","PMC8120951","NIHMS1695982","10.1111/acer.14528"
"40758856","Association of systemic immune-inflammation index (SII) with epigenetic age acceleration in adults: insights from NHANES","Liu R, Liu M, Wang C, Tao Z, Hu G.","Epigenetics. 2025 Dec;20(1):2541248. doi: 10.1080/15592294.2025.2541248. Epub 2025 Aug 4.","Liu R","Epigenetics","2025","2025/08/04","PMC12323417","","10.1080/15592294.2025.2541248"
"40472880","Biological age acceleration mediates effects of household air pollution from solid fuels on dementia risk: A prospective cohort study in China","Wu H, Lin Z, Zhang C, Jiang Y, Bai L, Zheng J, Wei S, Deng C.","Environ Pollut. 2025 Sep 15;381:126603. doi: 10.1016/j.envpol.2025.126603. Epub 2025 Jun 3.","Wu H","Environ Pollut","2025","2025/06/05","","","10.1016/j.envpol.2025.126603"
"40095187","Epigenetic age acceleration and mortality risk prediction in US adults","Mendy A, Mersha TB.","Geroscience. 2025 Aug;47(4):6029-6038. doi: 10.1007/s11357-025-01604-x. Epub 2025 Mar 17.","Mendy A","Geroscience","2025","2025/03/17","PMC12397028","","10.1007/s11357-025-01604-x"
"38464171","Epigenetic age acceleration is associated with blood lipid levels in a multi-ancestry sample of older U.S. adults","Lin L, Kiryakos J, Ammous F, Ratliff SM, Ware EB, Faul JD, Kardia SLR, Zhao W, Birditt KS, Smith JA.","Res Sq [Preprint]. 2024 Feb 27:rs.3.rs-3934965. doi: 10.21203/rs.3.rs-3934965/v1.","Lin L","Res Sq","2024","2024/03/11","PMC10925395","","10.21203/rs.3.rs-3934965/v1"
"36650913","The association between adverse childhood experiences and epigenetic age acceleration in the Canadian longitudinal study on aging (CLSA)","Joshi D, Gonzalez A, Lin D, Raina P.","Aging Cell. 2023 Feb;22(2):e13779. doi: 10.1111/acel.13779. Epub 2023 Jan 17.","Joshi D","Aging Cell","2023","2023/01/18","PMC9924940","","10.1111/acel.13779"
"38331797","Self-control is associated with health-relevant disparities in buccal DNA-methylation measures of biological aging in older adults","Willems YE, deSteiguer A, Tanksley PT, Vinnik L, Fraemke D, Okbay A, Richter D, Wagner GG, Hertwig R, Koellinger P, Tucker-Drob EM, Harden KP, Raffington L.","Clin Epigenetics. 2024 Feb 8;16(1):22. doi: 10.1186/s13148-024-01637-7.","Willems YE","Clin Epigenetics","2024","2024/02/08","PMC10854186","","10.1186/s13148-024-01637-7"
"28958059","Biological Age, Not Chronological Age, Is Associated with Late-Life Depression","Brown PJ, Wall MM, Chen C, Levine ME, Yaffe K, Roose SP, Rutherford BR.","J Gerontol A Biol Sci Med Sci. 2018 Sep 11;73(10):1370-1376. doi: 10.1093/gerona/glx162.","Brown PJ","J Gerontol A Biol Sci Med Sci","2018","2017/09/29","PMC6132120","","10.1093/gerona/glx162"
